2024-2月-06 02:11:19.323 INFO  [main] e.f.b.BlindDateRecordPlatformApplication - Starting BlindDateRecordPlatformApplication using Java 17.0.9 with PID 1576 (F:\git_project\Blind-Date-Record-Platform\target\classes started by Knight in F:\git_project\Blind-Date-Record-Platform)
2024-2月-06 02:11:19.335 INFO  [main] e.f.b.BlindDateRecordPlatformApplication - No active profile set, falling back to 1 default profile: "default"
2024-2月-06 02:11:19.874 INFO  [main] o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-2月-06 02:11:19.882 INFO  [main] o.a.c.c.StandardService - Starting service [Tomcat]
2024-2月-06 02:11:19.882 INFO  [main] o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2024-2月-06 02:11:19.920 INFO  [main] o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
2024-2月-06 02:11:19.920 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 553 ms
2024-2月-06 02:11:20.148 INFO  [main] o.s.b.w.e.t.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-2月-06 02:11:20.154 INFO  [main] e.f.b.BlindDateRecordPlatformApplication - Started BlindDateRecordPlatformApplication in 1.108 seconds (process running for 1.462)
2024-2月-06 02:11:41.932 INFO  [http-nio-8080-exec-1] o.a.c.c.C.[.[.[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-2月-06 02:11:41.932 INFO  [http-nio-8080-exec-1] o.s.w.s.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-2月-06 02:11:41.933 INFO  [http-nio-8080-exec-1] o.s.w.s.DispatcherServlet - Completed initialization in 1 ms
2024-2月-06 02:11:41.954 INFO  [http-nio-8080-exec-1] e.f.b.c.MainController - msg
2024-2月-06 02:14:45.023 INFO  [main] e.f.b.BlindDateRecordPlatformApplication - Starting BlindDateRecordPlatformApplication using Java 17.0.9 with PID 21676 (F:\git_project\Blind-Date-Record-Platform\target\classes started by Knight in F:\git_project\Blind-Date-Record-Platform)
2024-2月-06 02:14:45.033 INFO  [main] e.f.b.BlindDateRecordPlatformApplication - No active profile set, falling back to 1 default profile: "default"
2024-2月-06 02:14:45.575 INFO  [main] o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-2月-06 02:14:45.583 INFO  [main] o.a.c.c.StandardService - Starting service [Tomcat]
2024-2月-06 02:14:45.583 INFO  [main] o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2024-2月-06 02:14:45.622 INFO  [main] o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
2024-2月-06 02:14:45.622 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 557 ms
2024-2月-06 02:14:45.850 INFO  [main] o.s.b.w.e.t.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-2月-06 02:14:45.856 INFO  [main] e.f.b.BlindDateRecordPlatformApplication - Started BlindDateRecordPlatformApplication in 1.106 seconds (process running for 1.458)
